img_id,person_1,person_2,person_3,person_4,person_5
PAT_10_18_830.png,3,,,,
PAT_38_1002_668.png,2,,,,
PAT_45_66_822.png,1,,,,
PAT_53_1144_892.png,2,,,,
PAT_63_1075_331.png,1,,,,
PAT_63_1075_498.png,1,,,,
PAT_67_104_730.png,1,,,,
PAT_71_108_617.png,1,,,,
PAT_71_145_971.png,1,,,,
PAT_72_110_944.png,1,,,,
PAT_78_118_164.png,1,,,,
PAT_81_123_52.png,1,,,,
PAT_93_361_231.png,2,,,,
PAT_93_361_51.png,1,,,,
PAT_99_153_636.png,1,,,,
PAT_106_158_270.png,1,,,,
PAT_108_424_944.png,1,,,,
PAT_126_190_376.png,1,,,,
PAT_165_256_460.png,2,,,,
PAT_168_260_654.png,3,,,,
PAT_180_279_746.png,1,,,,
PAT_191_293_699.png,1,,,,
PAT_213_328_117.png,3,,,,
PAT_217_332_906.png,1,,,,
PAT_220_1343_489.png,1,,,,
PAT_221_339_951.png,1,,,,
PAT_223_341_187.png,1,,,,
PAT_233_354_828.png,1,,,,
PAT_241_367_89.png,2,,,,
PAT_264_405_118.png,1,,,,
PAT_277_427_658.png,1,,,,
PAT_286_1458_381.png,2,,,,
PAT_295_639_240.png,1,,,,
PAT_317_675_144.png,1,,,,
PAT_330_1440_532.png,1,,,,
PAT_330_698_211.png,3,,,,
PAT_360_742_768.png,2,,,,
PAT_364_749_377.png,1,,,,
PAT_365_750_854.png,1,,,,
PAT_374_762_794.png,1,,,,
PAT_379_1531_17.png,1,,,,
PAT_386_1554_280.png,2,,,,
PAT_393_793_852.png,1,,,,
PAT_394_1562_579.png,1,,,,
PAT_414_822_420.png,1,,,,
PAT_419_2768_910.png,2,,,,
PAT_433_2650_417.png,1,,,,
PAT_463_897_440.png,1,,,,
PAT_473_911_630.png,1,,,,
PAT_475_913_874.png,1,,,,
PAT_477_915_389.png,1,,,,
PAT_492_937_958.png,2,,,,
PAT_503_950_552.png,2,,,,
PAT_505_3200_856.png,1,,,,
PAT_506_957_377.png,2,,,,
PAT_539_1023_928.png,1,,,,
PAT_568_1066_235.png,1,,,,
PAT_615_1168_968.png,1,,,,
PAT_620_1176_980.png,1,,,,
PAT_641_1211_321.png,2,,,,
PAT_656_1246_489.png,1,,,,
PAT_660_1249_469.png,1,,,,
PAT_672_1272_705.png,1,,,,
PAT_674_1277_9.png,1,,,,
PAT_677_1348_657.png,1,,,,
PAT_677_1349_851.png,2,,,,
PAT_711_4067_260.png,1,,,,
PAT_714_1337_709.png,2,,,,
PAT_724_1369_896.png,1,,,,
PAT_727_1373_718.png,1,,,,
PAT_730_1383_535.png,1,,,,
PAT_756_1495_858.png,1,,,,
PAT_759_1538_566.png,1,,,,
PAT_813_1619_543.png,1,,,,
PAT_814_1532_265.png,2,,,,
PAT_835_1578_52.png,2,,,,
PAT_854_1635_103.png,2,,,,
PAT_860_1641_440.png,1,,,,
PAT_882_1678_192.png,1,,,,
PAT_897_1704_988.png,1,,,,
PAT_903_1720_647.png,1,,,,
PAT_943_1793_256.png,1,,,,
PAT_976_1837_503.png,2,,,,
PAT_980_1851_351.png,1,,,,
PAT_983_1854_274.png,1,,,,
PAT_990_1860_478.png,2,,,,
PAT_1008_59_297.png,2,,,,
PAT_1035_165_800.png,2,,,,
PAT_1057_242_297.png,1,,,,
PAT_1074_322_864.png,1,,,,
PAT_1145_534_529.png,1,,,,
PAT_1220_765_464.png,1,,,,
PAT_1267_912_371.png,2,,,,
PAT_1269_936_965.png,1,,,,
PAT_1303_1077_501.png,2,,,,
PAT_1364_1246_238.png,1,,,,
PAT_1402_1377_799.png,1,,,,
PAT_1405_1395_96.png,1,,,,
PAT_1415_1439_295.png,1,,,,
PAT_1476_1657_788.png,1,,,,
PAT_1482_1677_382.png,1,,,,
PAT_1497_1712_633.png,1,,,,
PAT_1547_1875_436.png,1,,,,
PAT_1572_2495_335.png,1,,,,
PAT_1658_2933_322.png,1,,,,
PAT_1670_3007_105.png,1,,,,
PAT_1764_3336_981.png,3,,,,
PAT_1764_3335_366.png,1,,,,
PAT_1790_3425_942.png,1,,,,
PAT_1855_3641_327.png,1,,,,
PAT_1904_3794_215.png,3,,,,
PAT_1955_3947_778.png,2,,,,
PAT_1989_4061_934.png,1,,,,
PAT_2036_4281_271.png,3,,,,
PAT_2046_4323_762.png,2,,,,
PAT_2085_4506_726.png,2,,,,
PAT_2150_4766_754.png,1,,,,
